course,label,amount,column
ayesha,Einzeltermin/Drop-in bei zweiwöchigem Kurs,29,
combine-and-captivate,Einzeltermin/Drop-in,29,
fliptastic,Einzeltermin/Drop-in,29,
polekurse,Einzeltermin/Drop-in,25,
superman,Einzeltermin/Drop-in,29,
tricktastic,Einzeltermin/Drop-in,25,
private-lessons-trial,Schnupperstunde,8,einzeln
private-lessons-trial,1 Stunde,59,einzeln
private-lessons-trial,1 Stunde,44,zu zweit
private-lessons-trial,1 Stunde,36,zu dritt
private-lessons-trial,1 Stunde,25,ab vier Personen
private-lessons-trial,90 Minuten,79,einzeln
private-lessons-trial,90 Minuten,59,zu zweit
private-lessons-trial,90 Minuten,48,zu dritt
private-lessons-trial,90 Minuten,34,ab vier Personen
private-lessons-trial,120 Minuten,99,einzeln
private-lessons-trial,120 Minuten,74,zu zweit
private-lessons-trial,120 Minuten,59,zu dritt
private-lessons-trial,120 Minuten,42,ab vier Personen
spiral,1 Stunde,59,einzeln
spiral,1 Stunde,39,zu zweit
spiral,1 Stunde,32,ab drei Personen
spiral,90 Minuten,74,einzeln
spiral,90 Minuten,49,zu zweit
spiral,90 Minuten,39,ab drei Personen
spiral,120 Minuten,94,einzeln
spiral,120 Minuten,62,zu zweit
spiral,120 Minuten,49,ab drei Personen
